car,move
G,-4
T,-1
U,-1
T,-2
G,3
T,-1
N,-1
T,1
K,-4
N,1
T,-3
S,-2
G,-2
S,1
U,-1
J,-2
K,1
E,3
A,2
K,-1
E,-1
A,-2
K,1
U,1
A,2
K,-1
S,-1
T,-1
Q,-2
U,-1
L,2
G,-1
T,1
K,-1
A,-1
N,-1
E,1
M,-1
O,-1
A,1
F,-1
T,-1
N,-1
F,-2
N,1
B,1
F,2
V,-4
F,-2
E,-1
O,-1
V,-2
R,-2
K,1
A,1
G,1
E,1
O,2
E,-2
V,2
E,2
K,-1
V,-1
F,1
V,3
K,1
F,1
R,1
V,-2
K,1
V,1
A,-1
K,-2
G,-1
F,-2
B,-1
E,-1
F,-1
V,-2
G,1
V,3
N,1
M,-1
E,-1
M,1
V,-3
B,1
N,-1
M,2
V,1
E,3
V,1
G,-1
F,3
E,-1
T,1
F,-1
E,3
V,-2
E,-2
A,-1
V,2
E,2
V,-1
K,1
V,-1
E,-3
A,-1
M,-2
A,1
V,-1
G,1
A,2
R,-1
K,1
V,3
F,1
T,-1
M,2
F,-2
E,-2
M,-3
N,1
K,-2
R,1
V,-2
F,-1
E,2
F,1
A,-1
E,1
K,1
V,2
B,1
V,-2
K,1
E,-2
R,1
M,2
E,-1
L,-1
A,1
L,-1
R,-3
A,-1
U,1
B,-2
N,1
X,-3
B,3
U,3
K,-1
U,-3
N,1
H,2
C,2
D,-3
C,-2
U,1
I,-1
K,1
P,-3
N,-1
P,1
U,4
N,1
P,1
O,1
N,-1
U,-2
H,2
U,-2
H,-1
K,-2
F,-1
N,1
H,1
U,-1
H,-2
N,-1
B,-1
N,1
U,-1
N,-2
F,1
P,-3
F,-1
U,2
N,2
H,3
A,1
U,-2
F,1
A,-1
X,2
K,2
I,1
E,1
C,2
E,1
N,-1
E,-1
D,-1
X,-1
U,3
C,1
E,1
C,-1
K,-2
D,1
C,-1
D,-2
U,-1
B,-1
F,1
H,-2
T,1
X,1
V,2
G,-1
A,3
D,1
V,-2
C,1
A,-2
X,1
U,1
X,1
